Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:-0.44873501997336884; MSE:1.0625; MAE:0.6875,0.5,0.59375,R2:0.196646604527297; MSE:0.589178125; MAE:0.6709375,0.59375,0.53125,0.65625,0.5625,
Time,0.0004218270001001656,0.0004306389996781945,0.0023169429996050895,0.00228918100008741,0.0005527040013112127,0.00014324699994176627,0.00046493300003930927,0.0004489580006338656,
Number of Turns,0.0,0.0,0.062478468670419125,0.0278437502035181,,,,,
Player 1 Turn Taking,0.0,0.0,0.026637637865708046,0.015231098867462493,,,,,
Player 2 Turn Taking,0.0,0.0,0.02704741652110073,0.014416303800468034,,,,,
Player 3 Turn Taking,0.0,0.0,0.026999068278738044,0.00946577314082151,,,,,
Player 4 Turn Taking,0.0,0.0,0.11036288559508373,0.10728881964546781,,,,,
Player 1 SA Average,0.8836363636363629,0.6631578947368422,0.13944106575685522,0.19664897491440206,,,,,
Player 2 SA Average,0.0,0.0,0.04335646007472633,0.047338634572677146,,,,,
Player 3 SA Average,0.0,0.0,0.07066994084537945,0.04980243926397293,,,,,
Player 4 SA Average,0.0,0.0,0.04244509074230437,0.04535407946901054,,,,,
SA 3 Turn Taking,0.0,0.0,0.0691489223996964,0.0340207724122368,,,,,
SA 4 Turn Taking,0.0,0.0,0.028085364927470186,0.01984345020471557,,,,,
SA 5 Turn Taking,0.0,0.0,0.02683726089298845,0.01332203150384968,,,,,
SA 6 Turn Taking,0.0,0.0,0.11539044604060082,0.20843085770395936,,,,,
Positive Sentiment Rating,0.0,0.0,0.04465102607517468,0.06485054426403401,,,,,
Negative Sentiment Rating,0.0,0.0,0.08520887819133433,0.09866306771529214,,,,,
Neutral Sentiment Rating,0.11636363636363711,0.33684210526315783,0.07152683573736204,0.04637747394345636,,,,,
Compound Sentiment Rating,0.0,0.0,0.00971323138505801,0.0011019283746556475,,,,,
