Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:-0.232704402515723; MSE:1.0; MAE:0.7857142857142857,0.32142857142857145,0.5714285714285714,R2:0.2386553459119497; MSE:0.6176214285714287; MAE:0.6985714285714284,0.75,0.5,0.5,0.4642857142857143,
Time,0.0006576549999954295,0.0006597909999982221,0.006870797000001403,0.004044754999995348,0.0009533360000023094,0.0002559870000004594,0.0008480189999954746,0.0007240920000003826,
Number of Turns,0.0,0.0,0.031654968208289426,0.007844815090322857,,,,,
Player 1 Turn Taking,0.0,0.0,0.022288654579002264,0.004334328123772863,,,,,
Player 2 Turn Taking,0.0,0.0,0.02923290987971839,0.00811630668182393,,,,,
Player 3 Turn Taking,0.0,0.0,0.024048729567151976,0.014550443906376116,,,,,
Player 4 Turn Taking,0.0,0.0,0.07204914554395613,0.07546396946550891,,,,,
Player 1 SA Average,0.685714285714287,0.3714285714285715,0.1394093324077756,0.15777098013601265,,,,,
Player 2 SA Average,0.0,0.0,0.05311089619600258,0.08277271437632557,,,,,
Player 3 SA Average,0.0,0.0,0.12674184022746554,0.14250746744889084,,,,,
Player 4 SA Average,0.0,0.0,0.044707752894052835,0.017415923657598635,,,,,
SA 3 Turn Taking,0.0,0.0,0.03563711671288214,0.018497316999088784,,,,,
SA 4 Turn Taking,0.0,0.0,0.023059338435882284,0.008434579439252337,,,,,
SA 5 Turn Taking,0.0,0.0,0.03861772813762952,0.019495189313403345,,,,,
SA 6 Turn Taking,0.0,0.0,0.07711901055180763,0.19912809955061128,,,,,
Positive Sentiment Rating,0.21428571428571289,0.42857142857142855,0.08500668016179172,0.06096899893286257,,,,,
Negative Sentiment Rating,0.0,0.0,0.12295665373662257,0.1426897246259103,,,,,
Neutral Sentiment Rating,0.10000000000000003,0.19999999999999996,0.05153630006043082,0.008472872136072777,,,,,
Compound Sentiment Rating,0.0,0.0,0.02282294269953844,0.03153627011616619,,,,,
