Name,ANOVA Decision Tree Regressor,Decision Tree Classifier,Random Forest Classifier,Random Forest Regressor,SVM Classifier,SVM Classifier - K=5 best,MLP Classifier - Adam,MLP Classifier - LBFGS,
Accuracy,R2:0.22424242424242424; MSE:0.6666666666666666; MAE:0.4166666666666667,0.375,0.5,R2:0.32020848484848485; MSE:0.5841958333333334; MAE:0.6579166666666667,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,
Time,0.0006661460000032093,0.0007293459999982587,0.006538966999996774,0.0040466849999938855,0.0009203080000042973,0.00026156500000070084,0.0008471970000027795,0.0007295549999980722,
Number of Turns,0.06387225548902173,0.0,0.01957261017101928,0.008580018847169949,,,,,
Player 1 Turn Taking,0.0,0.0,0.03241797008035046,0.03375954643173175,,,,,
Player 2 Turn Taking,0.0,0.0,0.030629458280855185,0.01404723617460171,,,,,
Player 3 Turn Taking,0.0,0.0,0.028266908910936913,0.009113111610569788,,,,,
Player 4 Turn Taking,0.0,0.15421686746987948,0.061769332362660946,0.060407107778261415,,,,,
Player 1 SA Average,0.0,0.0,0.04807401949445405,0.06319834264018853,,,,,
Player 2 SA Average,0.1173652694610776,0.0,0.06249193170466259,0.06002063504275688,,,,,
Player 3 SA Average,0.0,0.0,0.11760409117440702,0.13009316156158318,,,,,
Player 4 SA Average,0.08383233532934131,0.0,0.06776158938637049,0.06798379443856513,,,,,
SA 3 Turn Taking,0.0,0.1480206540447504,0.05104638993229708,0.0217255401909828,,,,,
SA 4 Turn Taking,0.0,0.16523235800344238,0.052398270284955424,0.03706331890395944,,,,,
SA 5 Turn Taking,0.0,0.0,0.03821017133089414,0.03086951397814865,,,,,
SA 6 Turn Taking,0.23608168278826985,0.0,0.08809274158598147,0.1358805686676553,,,,,
Positive Sentiment Rating,0.0,0.0,0.06440669139740152,0.08174003216119521,,,,,
Negative Sentiment Rating,0.4988484569322895,0.5325301204819277,0.15607661598651265,0.19115100942279808,,,,,
Neutral Sentiment Rating,0.0,0.0,0.043057062511596085,0.021132527239196345,,,,,
Compound Sentiment Rating,0.0,0.0,0.038124145404644864,0.03323453491063584,,,,,
